ParentKey	LineNum	BPCode
ItemCode	LineNum	VendorCode
REP-CALENT-F1200	0	PE00000009
REP-CALENT-F-900	0	PE00000009
REP-CALENT-Z-400	0	PE00000009
REP-TDB-258D3	0	PE00000005
11N65 CLD	0	PE00000056
11N80 CLD	0	PE00000056
2001 HI CLD	0	PE00000056
20N80 CLD	0	PE00000056
221-42	0	PE00000056
24C01A CLD	0	PE00000056
24C02 CLD	0	PE00000056
24C04 CLD	0	PE00000056
24C08A CLD	0	PE00000056
24C16 CLD	0	PE00000056
2L CLD	0	PE00000056
2N1711 CLD	0	PE00000056
2N2222 CLD	0	PE00000056
2N2904	0	PE00000056
2N3055 FIN TOSH	0	PE00000056
2N3055 GRU	0	PE00000056
2N3055 ST CLD	0	PE00000056
2N3771 CLD	0	PE00000056
2N3771 MOROCCO	0	PE00000056
2N3772 FIN TOSH	0	PE00000056
2N3772 GRU TOSH	0	PE00000056
2N3773 CLD ON	0	PE00000056
2N3773 CLD SGS	0	PE00000056
2N3773 CLD ST	0	PE00000056
2N3773 FIN TOSH	0	PE00000056
2N3773 GRU	0	PE00000056
2N3904 CLD	0	PE00000056
2N3906 CLD	0	PE00000056
2N5064	0	PE00000056
2N5401 CLD	0	PE00000056
2N5551	0	PE00000056
2N5551 CLD	0	PE00000056
2N5770	0	PE00000056
2N5884	0	PE00000056
2N6284	0	PE00000056
2SA1011E	0	PE00000056
2SA1012Y	0	PE00000056
2SA1013 CLD	0	PE00000056
2SA1015 CLD	0	PE00000056
2SA1020 CLD	0	PE00000056
2SA1046 CLD	0	PE00000056
2SA104B	0	PE00000056
2SA1075	0	PE00000056
2SA1123	0	PE00000056
2SA114	0	PE00000056
2SA1146	0	PE00000056
2SA1162	0	PE00000056
2SA1169	0	PE00000056
2SA1216	0	PE00000056
2SA1220	0	PE00000056
2SA124	0	PE00000056
2SA1249	0	PE00000056
2SA1263	0	PE00000056
2SA1264	0	PE00000056
2SA1265	0	PE00000056
2SA1270 CLD	0	PE00000056
2SA1273 CLD	0	PE00000056
2SA1294 CLD	0	PE00000056
2SA1295 CLD	0	PE00000056
2SA1300GR	0	PE00000056
2SA1301 CLD	0	PE00000056
2SA1302 CLD	0	PE00000056
2SA1302 TOSH	0	PE00000056
2SA1306 CLD	0	PE00000056
2SA1307	0	PE00000056
2SA1309	0	PE00000056
2SA1345	0	PE00000056
2SA1357	0	PE00000056
2SA1370E	0	PE00000056
2SA144	0	PE00000056
2SA1492 CLD	0	PE00000056
2SA1494 CLD	0	PE00000056
2SA1516	0	PE00000056
2SA1598	0	PE00000056
2SA1625	0	PE00000056
2SA1633	0	PE00000056
2SA1667	0	PE00000056
2SA1668 CLD	0	PE00000056
2SA1694 CLD	0	PE00000056
2SA1837 CLD	0	PE00000056
2SA1941	0	PE00000056
2SA1941 CLD	0	PE00000056
2SA1943 CLD	0	PE00000056
2SA2222 CLD	0	PE00000056
2SA473 CLD	0	PE00000056
2SA614	0	PE00000056
2SA634	0	PE00000056
2SA643C-Y	0	PE00000056
2SA673	0	PE00000056
2SA683R	0	PE00000056
2SA684	0	PE00000056
2SA684 CLD	0	PE00000056
2SA699	0	PE00000056
2SA715 CLD	0	PE00000056
2SA733 CLD	0	PE00000056
2SA770	0	PE00000056
2SA844	0	PE00000056
2SA874	0	PE00000056
2SA886	0	PE00000056
2SA916 CLD	0	PE00000056
2SA937	0	PE00000056
2SA940 CLD	0	PE00000056
2SA949	0	PE00000056
2SA965 CLD	0	PE00000056
2SB1015 CLD	0	PE00000056
2SB1020	0	PE00000056
2SB1050	0	PE00000056
2SB1068	0	PE00000056
2SB1203S	0	PE00000056
2SB1237	0	PE00000056
2SB1241	0	PE00000056
2SB1243	0	PE00000056
2SB1274	0	PE00000056
2SB1274 CLD	0	PE00000056
2SB1344	0	PE00000056
2SB1370 CLD	0	PE00000056
2SB1370PI CLD	0	PE00000056
2SB1374	0	PE00000056
2SB1375 CLD	0	PE00000056
2SB1560	0	PE00000056
2SB1565	0	PE00000056
2SB1565 CLD	0	PE00000056
2SB1566	0	PE00000056
2SB1568	0	PE00000056
2SB1587	0	PE00000056
2SB1588 CLD	0	PE00000056
2SB1624 CLD	0	PE00000056
2SB1626	0	PE00000056
2SB1649 CLD	0	PE00000056
2SB1655	0	PE00000056
2SB1686 CLD	0	PE00000056
2SB337	0	PE00000056
2SB407	0	PE00000056
2SB468	0	PE00000056
2SB481	0	PE00000056
2SB507	0	PE00000056
2SB507 CLD	0	PE00000056
2SB511 CLD	0	PE00000056
2SB546	0	PE00000056
2SB553	0	PE00000056
2SB557	0	PE00000056
2SB560	0	PE00000056
2SB562	0	PE00000056
2SB595	0	PE00000056
2SB596	0	PE00000056
2SB631 CLD	0	PE00000056
2SB632 CLD	0	PE00000056
2SB642	0	PE00000056
2SB647	0	PE00000056
2SB647 CLD	0	PE00000056
2SB649 CLD	0	PE00000056
2SB688 CLD	0	PE00000056
2SB772 CLD	0	PE00000056
2SB817C CLD	0	PE00000056
2SB827	0	PE00000056
2SB828	0	PE00000056
2SB834 CLD	0	PE00000056
2SB857	0	PE00000056
2SB880	0	PE00000056
2SB882	0	PE00000056
2SB892 CLD	0	PE00000056
2SB950	0	PE00000056
2SC1008	0	PE00000056
2SC1025	0	PE00000056
2SC1051	0	PE00000056
2SC1061 CLD	0	PE00000056
2SC1096	0	PE00000056
2SC1098	0	PE00000056
2SC114	0	PE00000056
2SC1161	0	PE00000056
2SC1162 CLD	0	PE00000056
2SC1170A	0	PE00000056
2SC1172B CLD	0	PE00000056
2SC1213	0	PE00000056
2SC124	0	PE00000056
2SC1308	0	PE00000056
2SC1384 CLD	0	PE00000056
2SC1413 HIT	0	PE00000056
2SC1454	0	PE00000056
2SC1473	0	PE00000056
2SC1507 CLD	0	PE00000056
2SC1509	0	PE00000056
2SC1569	0	PE00000056
2SC1573 CLD	0	PE00000056
2SC1577	0	PE00000056
2SC1583	0	PE00000056
2SC1617	0	PE00000056
2SC1619A	0	PE00000056
2SC1623	0	PE00000056
2SC1629A	0	PE00000056
2SC1652	0	PE00000056
2SC1664	0	PE00000056
2SC1756	0	PE00000056
2SC1810	0	PE00000056
2SC1815 CLD	0	PE00000056
2SC1827	0	PE00000056
2SC1828	0	PE00000056
2SC1841	0	PE00000056
2SC1842	0	PE00000056
2SC1846	0	PE00000056
2SC1875	0	PE00000056
2SC1890	0	PE00000056
2SC1906	0	PE00000056
2SC1923	0	PE00000056
2SC1941 CLD	0	PE00000056
2SC1942	0	PE00000056
2SC1971	0	PE00000056
2SC1985	0	PE00000056
2SC2001	0	PE00000056
2SC2026 CLD	0	PE00000056
2SC2026K CLD	0	PE00000056
2SC2073 CLD	0	PE00000056
2SC2092	0	PE00000056
2SC2120	0	PE00000056
2SC2230 CLD	0	PE00000056
2SC2233	0	PE00000056
2SC2233 CLD	0	PE00000056
